,id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
3860,larkish01,Shane Larkin,2014,2018,180.34,79.37866475,25.0,2018,BOS,NBA,PG,11,0.0,14.0,1.5,3.2,0.457,0.4,1.2,0.308,1.1,2.0,0.545,0.514,0.5,0.5,1.0,0.1,0.9,1.0,1.8,0.5,0.0,0.5,1.4,3.7,3.6490422152844233
3861,laudepr01,Priest Lauderdale,1997,1998,223.52,147.41752025,23.0,1997,ATL,NBA,C,3,0.0,2.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,1.0,0.3,0.0,0.09328537493833278
3862,lauvejo01,Joffrey Lauvergne,2015,2018,210.82,99.7903214,25.0,2017,CHI,NBA,C,3,0.0,8.7,1.3,3.7,0.364,0.0,0.7,0.0,1.3,3.0,0.444,0.364,2.0,2.0,1.0,1.7,1.3,3.0,1.7,0.0,0.0,0.7,0.3,4.7,5.148147999927972
3863,lawac01,Acie Law,2008,2011,190.5,88.45051215000001,23.0,2008,ATL,NBA,PG,7,0.0,8.7,0.9,1.1,0.75,0.0,0.0,0.0,0.9,1.1,0.75,0.75,1.3,1.4,0.9,0.0,0.3,0.3,1.1,0.3,0.0,1.1,0.7,3.0,3.0000069778614002
3864,lawac01,Acie Law,2008,2011,190.5,88.45051215000001,24.0,2009,ATL,NBA,PG,6,0.0,4.7,0.5,1.5,0.333,0.2,0.5,0.333,0.3,1.0,0.333,0.389,0.2,0.2,1.0,0.2,0.2,0.3,1.0,0.0,0.0,0.2,0.5,1.3,1.356505993570851
3865,laymaja01,Jake Layman,2017,2022,203.2,94.80080533,24.0,2019,POR,NBA,SF,6,0.0,3.3,0.2,1.2,0.143,0.0,0.8,0.0,0.2,0.3,0.5,0.143,0.5,0.7,0.75,0.2,0.5,0.7,0.0,0.0,0.0,0.0,0.5,0.8,1.1650992039374062
3866,lawsoty01,Ty Lawson,2010,2017,180.34,88.45051215000001,22.0,2010,DEN,NBA,PG,6,0.0,19.7,2.5,5.8,0.429,0.7,1.7,0.4,1.8,4.2,0.44,0.486,2.2,3.2,0.684,0.7,0.7,1.3,2.7,1.0,0.0,1.3,3.0,7.8,6.197477011020988
3867,lawsoty01,Ty Lawson,2010,2017,180.34,88.45051215000001,23.0,2011,DEN,NBA,PG,5,5.0,33.4,5.2,10.4,0.5,1.0,2.2,0.455,4.2,8.2,0.512,0.548,4.2,4.6,0.913,1.4,2.0,3.4,3.8,1.0,0.2,1.2,1.8,15.6,13.322717094470992
3868,lawsoty01,Ty Lawson,2010,2017,180.34,88.45051215000001,24.0,2012,DEN,NBA,PG,7,7.0,34.6,8.0,15.6,0.514,1.3,4.0,0.321,6.7,11.6,0.58,0.555,1.7,2.7,0.632,0.6,2.0,2.6,6.0,1.0,0.1,1.1,1.7,19.0,15.156488110557843
3869,lawsoty01,Ty Lawson,2010,2017,180.34,88.45051215000001,25.0,2013,DEN,NBA,PG,6,6.0,39.3,8.0,18.2,0.44,0.7,3.5,0.19,7.3,14.7,0.5,0.459,4.7,5.5,0.848,0.8,2.5,3.3,8.0,1.7,0.0,2.2,2.2,21.3,18.17699547646428
3870,lawsoty01,Ty Lawson,2010,2017,180.34,88.45051215000001,28.0,2016,IND,NBA,PG,7,0.0,10.6,0.9,2.6,0.333,0.0,0.4,0.0,0.9,2.1,0.4,0.333,0.6,0.9,0.667,0.1,0.9,1.0,1.4,0.4,0.0,0.9,1.1,2.3,2.178944684599843
3871,lawsoty01,Ty Lawson,2010,2017,180.34,88.45051215000001,30.0,2018,WAS,NBA,PG,5,0.0,19.2,1.8,5.2,0.346,1.0,1.6,0.625,0.8,3.6,0.222,0.442,1.2,1.2,1.0,0.4,2.2,2.6,3.0,0.6,0.0,0.6,1.2,5.8,6.37782073179626
3872,leverca01,Caris LeVert,2017,2022,198.12,92.98643585,24.0,2019,BRK,NBA,SF,5,2.0,28.8,7.2,14.6,0.493,2.4,5.2,0.462,4.8,9.4,0.511,0.575,4.2,5.8,0.724,1.2,3.4,4.6,3.0,1.0,0.4,2.0,1.6,21.0,14.513848968260293
3873,leverca01,Caris LeVert,2017,2022,198.12,92.98643585,25.0,2020,BRK,NBA,SG,4,4.0,35.0,6.8,18.3,0.37,2.3,5.3,0.429,4.5,13.0,0.346,0.432,4.5,6.3,0.72,2.0,4.0,6.0,9.5,1.3,0.3,3.3,1.8,20.3,17.17191926746375
3874,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,22.0,1980,HOU,NBA,PG,7,0.0,21.3,1.4,5.4,0.263,0.0,0.6,0.0,1.4,4.9,0.294,0.263,2.7,3.0,0.905,0.3,1.4,1.7,3.4,0.9,0.0,0.9,1.7,5.6,6.210574357741099
3875,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,23.0,1981,HOU,NBA,PG,17,0.0,12.8,1.8,4.5,0.39,0.0,0.0,0.0,1.8,4.5,0.39,0.39,0.9,1.0,0.882,0.3,0.7,1.0,2.6,1.1,0.2,1.2,1.5,4.4,4.351381139756768
3876,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,24.0,1982,HOU,NBA,PG,3,0.0,31.0,6.7,15.7,0.426,0.0,0.3,0.0,6.7,15.3,0.435,0.426,0.7,0.7,1.0,0.3,1.3,1.7,3.3,1.3,0.3,1.7,3.0,14.0,9.228352332736936
3877,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,27.0,1985,HOU,NBA,PG,5,0.0,3.2,0.4,1.2,0.333,0.0,0.4,0.0,0.4,0.8,0.5,0.333,0.4,0.4,1.0,0.2,0.4,0.6,0.6,0.0,0.0,0.2,0.4,1.2,1.3346078124050105
3878,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,28.0,1986,HOU,NBA,PG,15,0.0,11.3,1.6,5.3,0.3,0.5,1.0,0.467,1.1,4.3,0.262,0.344,1.3,1.5,0.87,0.2,0.8,1.0,2.7,0.6,0.0,0.6,0.8,5.0,4.6363309049159955
3879,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,29.0,1987,HOU,NBA,PG,10,10.0,38.4,4.4,10.7,0.411,0.4,1.6,0.25,4.0,9.1,0.44,0.43,4.9,6.0,0.817,0.6,1.9,2.5,7.2,1.9,0.3,2.8,4.2,14.1,13.34147112411695
3880,leaveal01,Allen Leavell,1980,1989,185.42,77.1107029,30.0,1988,HOU,NBA,SG,4,0.0,9.5,1.8,4.8,0.368,0.5,1.5,0.333,1.3,3.3,0.385,0.421,1.0,1.0,1.0,0.0,0.8,0.8,2.3,0.5,0.0,1.5,1.5,5.0,3.8801042413604905
3881,leaftj01,T.J. Leaf,2018,2021,208.28,100.69750614,23.0,2021,POR,NBA,PF,3,0.0,2.3,1.0,1.3,0.75,0.0,0.0,0.0,1.0,1.3,0.75,0.75,0.0,0.0,0.0,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2475436406801825
3882,leckner01,Eric Leckner,1989,1997,210.82,120.20197805,22.0,1989,UTA,NBA,C,3,0.0,3.3,0.3,1.3,0.25,0.0,0.0,0.0,0.3,1.3,0.25,0.25,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,1.0,0.7,0.7,0.2432853749383328
3883,leckner01,Eric Leckner,1989,1997,210.82,120.20197805,23.0,1990,UTA,NBA,C,3,0.0,9.3,2.0,3.3,0.6,0.3,0.3,1.0,1.7,3.0,0.556,0.65,1.7,3.0,0.556,0.7,2.0,2.7,0.7,0.0,0.0,0.3,2.7,6.0,4.990755654603362
3884,leebu01,Butch Lee,1979,1980,182.88,83.91458845000001,23.0,1980,LAL,NBA,PG,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,0.7,0.7,0.6627827558638002
3885,leeda02,David Lee,2006,2017,205.74,111.13013065,29.0,2013,GSW,NBA,PF,6,1.0,10.8,2.2,5.5,0.394,0.0,0.0,0.0,2.2,5.5,0.394,0.394,0.7,1.0,0.667,1.0,3.7,4.7,0.8,0.5,0.2,0.8,0.8,5.0,4.197551523064716
3886,leeda02,David Lee,2006,2017,205.74,111.13013065,30.0,2014,GSW,NBA,PF,7,7.0,31.0,5.9,11.0,0.532,0.0,0.0,0.0,5.9,11.0,0.532,0.532,2.1,2.7,0.789,3.4,5.7,9.1,2.6,0.6,0.0,2.4,4.0,13.9,12.09137896711313
3887,leeda02,David Lee,2006,2017,205.74,111.13013065,31.0,2015,GSW,NBA,PF,13,0.0,8.2,1.2,3.1,0.4,0.0,0.0,0.0,1.2,3.1,0.4,0.4,0.6,1.2,0.533,0.8,1.8,2.6,0.6,0.2,0.2,0.2,1.3,3.1,2.624541731762224
3888,leeda02,David Lee,2006,2017,205.74,111.13013065,33.0,2017,SAS,NBA,PF,15,4.0,16.3,1.7,3.2,0.521,0.0,0.1,0.0,1.7,3.1,0.532,0.521,0.7,1.1,0.647,1.3,2.5,3.8,0.7,0.3,0.3,0.4,1.3,4.1,4.073049010148846
3889,leeco01,Courtney Lee,2009,2020,195.58,97.52235955,23.0,2009,ORL,NBA,SG,21,16.0,26.2,3.2,7.3,0.435,0.6,2.1,0.273,2.6,5.2,0.5,0.474,1.1,1.2,0.885,0.3,1.6,1.9,1.3,0.9,0.1,1.0,2.0,8.0,5.5555458132237625
3890,leeco01,Courtney Lee,2009,2020,195.58,97.52235955,27.0,2013,BOS,NBA,SG,4,0.0,9.8,0.3,1.3,0.2,0.0,0.5,0.0,0.3,0.8,0.333,0.2,1.0,1.0,1.0,0.0,0.5,0.5,0.3,0.5,0.0,0.0,0.8,1.5,1.93908501628925
3891,leeco01,Courtney Lee,2009,2020,195.58,97.52235955,28.0,2014,MEM,NBA,SG,7,7.0,32.0,3.6,8.6,0.417,0.9,2.7,0.316,2.7,5.9,0.463,0.467,2.0,2.6,0.778,0.4,1.6,2.0,1.6,0.7,0.3,0.9,2.9,10.0,6.643099881590128
3892,leeco01,Courtney Lee,2009,2020,195.58,97.52235955,29.0,2015,MEM,NBA,SG,11,11.0,33.4,5.0,9.1,0.55,1.3,2.7,0.467,3.7,6.4,0.586,0.62,2.0,2.1,0.957,0.3,2.3,2.5,2.2,1.1,0.0,1.2,2.2,13.3,10.389168298083616
3893,leeco01,Courtney Lee,2009,2020,195.58,97.52235955,30.0,2016,CHO,NBA,SG,7,7.0,36.7,3.0,7.3,0.412,0.6,1.3,0.444,2.4,6.0,0.405,0.451,2.0,2.1,0.933,0.7,2.1,2.9,1.3,0.9,0.4,0.7,2.7,8.6,6.619426797135626
3894,legleti01,Tim Legler,1990,2000,193.04,90.718474,30.0,1997,WSB,NBA,SG,3,0.0,6.3,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.5,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.7,0.3,0.7342165842799155
3895,leoname01,Meyers Leonard,2013,2021,213.36,117.9340162,21.0,2014,POR,NBA,C,4,0.0,2.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.0,0.5030974578877179
3896,leoname01,Meyers Leonard,2013,2021,213.36,117.9340162,22.0,2015,POR,NBA,C,5,0.0,21.2,2.8,4.2,0.667,2.0,2.6,0.769,0.8,1.6,0.5,0.905,0.2,0.4,0.5,1.2,5.4,6.6,1.0,0.4,0.4,0.6,3.4,7.8,8.332789317355937
3897,leoname01,Meyers Leonard,2013,2021,213.36,117.9340162,24.0,2017,POR,NBA,PF,3,1.0,10.3,0.3,1.7,0.2,0.0,1.3,0.0,0.3,0.3,1.0,0.2,0.0,0.0,0.0,0.7,2.0,2.7,0.3,0.0,0.0,1.3,2.0,0.7,1.233721826187247
3898,leoname01,Meyers Leonard,2013,2021,213.36,117.9340162,26.0,2019,POR,NBA,C,11,2.0,15.5,3.1,5.9,0.523,1.3,3.0,0.424,1.8,2.9,0.625,0.631,0.3,0.8,0.333,0.5,3.1,3.6,1.1,0.2,0.1,0.4,2.5,7.7,5.847908249783981
3899,leoname01,Meyers Leonard,2013,2021,213.36,117.9340162,27.0,2020,MIA,NBA,C,3,2.0,10.3,1.7,2.7,0.625,0.7,1.3,0.5,1.0,1.3,0.75,0.75,0.7,0.7,1.0,0.0,0.3,0.3,1.0,0.3,0.0,0.0,1.3,4.7,4.187697701481299
3900,lesji01,Jim Les,1989,1995,180.34,74.84274105,25.0,1989,UTA,NBA,PG,3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.0,0.20887120484136434
3901,lenarvo01,Voshon Lenard,1996,2006,193.04,92.98643585,23.0,1997,MIA,NBA,SG,17,17.0,32.2,3.7,9.1,0.406,2.1,5.4,0.396,1.6,3.8,0.422,0.523,1.9,2.2,0.865,0.7,2.2,2.9,2.1,0.6,0.2,1.8,2.9,11.4,7.389446035195856
3902,lenarvo01,Voshon Lenard,1996,2006,193.04,92.98643585,24.0,1998,MIA,NBA,SG,5,5.0,37.2,4.8,10.4,0.462,1.8,5.2,0.346,3.0,5.2,0.577,0.548,3.0,4.0,0.75,0.2,3.6,3.8,1.4,0.2,0.4,2.2,4.0,14.4,8.843116680033209
3903,lenarvo01,Voshon Lenard,1996,2006,193.04,92.98643585,25.0,1999,MIA,NBA,SG,4,0.0,14.3,3.0,5.5,0.545,2.3,3.5,0.643,0.8,2.0,0.375,0.75,1.0,1.0,1.0,0.0,0.3,0.3,0.8,0.0,0.3,0.3,1.0,9.3,6.59878091834013
3904,lenarvo01,Voshon Lenard,1996,2006,193.04,92.98643585,30.0,2004,DEN,NBA,SG,5,5.0,32.2,6.4,15.0,0.427,2.2,4.8,0.458,4.2,10.2,0.412,0.5,2.0,2.8,0.714,0.8,1.8,2.6,2.4,0.8,0.0,1.8,2.6,17.0,10.007736497801465
3905,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,20.0,2012,SAS,NBA,SF,14,14.0,27.1,3.2,6.4,0.5,1.3,2.9,0.45,1.9,3.6,0.54,0.6,0.9,1.1,0.813,1.3,4.6,5.9,0.6,1.2,0.4,0.9,1.6,8.6,7.112216028657427
3906,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,21.0,2013,SAS,NBA,SF,21,21.0,36.9,5.5,10.0,0.545,1.1,2.8,0.39,4.4,7.2,0.605,0.6,1.5,2.3,0.633,2.4,6.7,9.0,1.0,1.8,0.5,1.1,1.9,13.5,11.730004184425223
3907,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,22.0,2014,SAS,NBA,SF,23,23.0,32.0,5.3,10.4,0.51,1.3,3.2,0.419,4.0,7.2,0.552,0.575,2.3,3.1,0.736,1.3,5.4,6.7,1.7,1.7,0.6,1.3,2.9,14.3,11.411460351560207
3908,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,23.0,2015,SAS,NBA,SF,7,7.0,35.7,7.4,15.6,0.477,1.6,3.7,0.423,5.9,11.9,0.494,0.528,3.9,5.0,0.771,1.9,5.6,7.4,2.6,1.1,0.6,2.1,2.6,20.3,14.823802375576289
3909,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,24.0,2016,SAS,NBA,SF,10,10.0,33.9,8.3,16.6,0.5,1.7,3.9,0.436,6.6,12.7,0.52,0.551,4.2,5.1,0.824,1.4,4.9,6.3,2.8,2.6,1.4,1.6,2.1,22.5,17.30479401462618
3910,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,25.0,2017,SAS,NBA,SF,12,12.0,35.8,8.8,16.8,0.525,2.1,4.6,0.455,6.8,12.3,0.551,0.587,7.9,8.5,0.931,1.6,6.2,7.8,4.6,1.7,0.5,2.2,1.8,27.7,23.3520526025114
3911,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,27.0,2019,TOR,NBA,SF,24,24.0,39.1,10.1,20.7,0.49,2.3,6.0,0.379,7.8,14.6,0.536,0.545,8.0,9.0,0.884,2.3,6.8,9.1,3.9,1.7,0.7,3.1,2.3,30.5,23.278316670021088
3912,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,28.0,2020,LAC,NBA,SF,13,13.0,39.3,10.1,20.6,0.489,1.8,5.6,0.329,8.2,15.0,0.549,0.534,6.2,7.2,0.862,1.8,7.5,9.3,5.5,2.3,0.8,2.5,2.2,28.2,23.065049506277095
3913,leonaka01,Kawhi Leonard,2012,2021,200.66,102.05828325,29.0,2021,LAC,NBA,SF,11,11.0,39.3,11.1,19.4,0.573,2.2,5.5,0.393,8.9,13.8,0.645,0.629,6.0,6.8,0.88,2.0,5.7,7.7,4.4,2.1,0.8,2.2,2.6,30.4,25.11482850437088
3914,lenal01,Alex Len,2014,2022,213.36,113.3980925,27.0,2021,WAS,NBA,C,5,3.0,8.4,1.6,2.8,0.571,0.0,0.0,0.0,1.6,2.8,0.571,0.571,0.8,1.4,0.571,0.8,1.4,2.2,0.4,0.2,0.0,0.2,1.6,4.0,3.40379818843509
3915,lestero01,Ronnie Lester,1981,1986,187.96,79.37866475,22.0,1981,CHI,NBA,PG,5,0.0,8.4,1.4,3.6,0.389,0.0,0.2,0.0,1.4,3.4,0.412,0.389,1.0,1.4,0.714,1.0,0.2,1.2,0.8,0.4,0.0,1.0,0.8,3.8,2.6360801508032092
3916,lestero01,Ronnie Lester,1981,1986,187.96,79.37866475,26.0,1985,LAL,NBA,PG,9,0.0,6.0,0.7,1.7,0.4,0.0,0.0,0.0,0.7,1.7,0.4,0.4,0.8,1.0,0.778,0.2,0.7,0.9,1.0,0.0,0.0,0.4,0.8,2.1,1.993404859795968
3917,leuerjo01,Jon Leuer,2012,2019,208.28,103.41906036,23.0,2013,MEM,NBA,PF,5,0.0,2.2,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.2,0.6,0.0,0.2,0.2,0.0,0.2,0.4,0.9157202399529638
3918,leuerjo01,Jon Leuer,2012,2019,208.28,103.41906036,24.0,2014,MEM,NBA,PF,3,0.0,7.7,1.0,2.3,0.429,0.3,0.7,0.5,0.7,1.7,0.4,0.5,0.7,0.7,1.0,0.7,2.0,2.7,0.7,0.3,0.0,0.0,0.7,3.0,3.250944621737023
3919,leuerjo01,Jon Leuer,2012,2019,208.28,103.41906036,25.0,2015,MEM,NBA,PF,4,0.0,2.3,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.8,1.3,0.0,0.0,0.0,0.0,0.3,1.0,1.3106917155841058
