id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,36.0,1984,LAL,NBA,C,21,0.0,36.5,9.8,17.7,0.555,0.0,0.0,0.0,9.8,17.7,0.555,0.555,4.3,5.7,0.75,2.7,5.6,8.2,3.8,1.1,2.1,2.1,3.4,23.9,20.923310562048126
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,37.0,1985,LAL,NBA,C,19,19.0,32.1,8.8,15.8,0.56,0.0,0.0,0.0,8.8,15.8,0.56,0.56,4.2,5.4,0.777,2.6,5.5,8.1,4.0,1.2,1.9,2.7,3.5,21.9,19.806481408965738
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,38.0,1986,LAL,NBA,C,14,14.0,34.9,11.2,20.1,0.557,0.0,0.0,0.0,11.2,20.1,0.557,0.557,3.4,4.4,0.787,1.9,4.1,5.9,3.5,1.1,1.7,3.0,3.9,25.9,20.350579706631795
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,39.0,1987,LAL,NBA,C,18,18.0,31.1,6.9,13.0,0.53,0.0,0.1,0.0,6.9,12.9,0.532,0.53,5.4,6.8,0.795,2.2,4.7,6.8,2.0,0.4,1.9,2.2,3.1,19.2,15.615153538561598
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,40.0,1988,LAL,NBA,C,24,24.0,29.9,5.9,12.7,0.464,0.0,0.1,0.0,5.9,12.6,0.467,0.464,2.3,3.0,0.789,2.0,3.4,5.5,1.5,0.6,1.5,1.9,3.4,14.1,10.459917405591584
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,41.0,1989,LAL,NBA,C,15,15.0,23.4,4.5,9.8,0.463,0.0,0.0,0.0,4.5,9.8,0.463,0.463,2.1,2.9,0.721,0.9,3.1,3.9,1.3,0.3,0.7,1.5,2.9,11.1,7.945119451636731
achiupr01,Precious Achiuwa,2021,2022,203.2,102.05828325,21.0,2021,MIA,NBA,PF,3,0.0,4.0,1.0,1.3,0.75,0.0,0.0,0.0,1.0,1.3,0.75,0.75,0.3,1.3,0.25,0.0,2.0,2.0,0.0,0.0,0.7,1.3,0.3,2.3,2.2097156247396557
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,24.0,1979,PHO,NBA,C,12,0.0,31.0,5.5,11.6,0.475,0.0,0.0,0.0,5.5,11.6,0.475,0.475,1.8,2.6,0.71,2.1,5.4,7.5,4.4,0.9,1.0,3.0,3.4,12.8,12.93360678785028
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,25.0,1980,PHO,NBA,C,8,0.0,31.4,7.0,12.4,0.566,0.0,0.0,0.0,7.0,12.4,0.566,0.566,2.1,2.4,0.895,2.3,7.4,9.6,5.8,0.9,1.3,3.0,3.0,16.1,18.481217427190984
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,26.0,1981,PHO,NBA,C,7,0.0,31.1,3.9,8.6,0.45,0.0,0.0,0.0,3.9,8.6,0.45,0.45,2.9,4.0,0.714,1.6,4.3,5.9,3.7,0.6,0.1,2.7,2.9,10.6,10.557603812026311
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,27.0,1982,PHO,NBA,C,7,0.0,33.3,6.9,13.1,0.522,0.0,0.0,0.0,6.9,13.1,0.522,0.522,3.1,4.0,0.786,2.7,4.6,7.3,3.7,2.0,1.4,3.0,3.1,16.9,15.925574073956563
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,28.0,1983,PHO,NBA,C,3,0.0,28.0,5.0,10.7,0.469,0.0,0.0,0.0,5.0,10.7,0.469,0.469,1.7,2.3,0.714,1.0,5.0,6.0,4.7,0.7,1.7,1.7,5.0,11.7,12.708629861033353
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,29.0,1984,PHO,NBA,C,17,0.0,18.4,3.1,7.4,0.421,0.0,0.0,0.0,3.1,7.4,0.421,0.421,2.1,3.1,0.679,1.6,3.5,5.1,2.5,1.0,0.6,2.0,3.1,8.4,8.090870709820388
adamsal01,Alvan Adams,1976,1988,205.74,95.2543977,30.0,1985,PHO,NBA,PF,3,3.0,26.3,7.7,15.3,0.5,0.0,0.0,0.0,7.7,15.3,0.5,0.5,1.7,2.0,0.833,1.3,4.3,5.7,3.7,2.3,0.3,2.0,2.7,17.0,15.136051392244141
adamsha01,Hassan Adams,2007,2009,193.04,99.79032140000001,22.0,2007,NJN,NBA,SG,6,0.0,1.5,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.7986879179208867
adamsja01,Jaylen Adams,2019,2021,182.88,102.05828325,23.0,2020,POR,NBA,PG,3,0.0,7.0,1.0,3.0,0.333,0.0,1.3,0.0,1.0,1.7,0.6,0.333,0.0,0.0,0.0,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0,2.436504088805727
acresma01,Mark Acres,1988,1993,210.82,99.79032140000001,25.0,1988,BOS,NBA,C,17,0.0,9.3,0.8,1.5,0.538,0.0,0.0,0.0,0.8,1.5,0.538,0.538,0.5,1.1,0.5,0.8,1.3,2.1,0.1,0.1,0.1,0.4,1.9,2.2,2.260077190029615
adamsjo01,Jordan Adams,2015,2016,195.57999999999998,94.80080533,20.0,2015,MEM,NBA,SG,4,0.0,2.5,0.5,0.8,0.667,0.3,0.3,1.0,0.3,0.5,0.5,0.833,0.5,1.0,0.5,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,1.8,2.220430417152528
adebaba01,Bam Adebayo,2018,2022,205.74,115.66605435000001,20.0,2018,MIA,NBA,C,5,0.0,15.4,1.4,3.0,0.467,0.0,0.2,0.0,1.4,2.8,0.5,0.467,0.6,2.8,0.214,1.8,2.2,4.0,0.0,0.0,0.4,0.4,1.6,3.4,3.387069325080386
adebaba01,Bam Adebayo,2018,2022,205.74,115.66605435000001,22.0,2020,MIA,NBA,PF,19,19.0,36.2,6.5,11.6,0.564,0.0,0.1,0.0,6.5,11.5,0.566,0.564,4.7,6.1,0.783,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.1,17.8,18.61656015985111
adebaba01,Bam Adebayo,2018,2022,205.74,115.66605435000001,23.0,2021,MIA,NBA,C,4,4.0,34.0,6.5,14.3,0.456,0.0,0.0,0.0,6.5,14.3,0.456,0.456,2.5,3.3,0.769,3.5,5.8,9.3,4.3,1.3,0.5,2.8,2.8,15.5,15.101928872559261
adamsmi01,Michael Adams,1986,1996,177.8,73.48196394,24.0,1987,WSB,NBA,PG,3,1.0,27.3,2.7,8.3,0.32,0.7,3.0,0.222,2.0,5.3,0.375,0.36,0.3,1.0,0.333,0.0,2.3,2.3,3.3,2.3,0.0,1.7,2.0,6.3,6.581763560801774
adamsmi01,Michael Adams,1986,1996,177.8,73.48196394,25.0,1988,DEN,NBA,PG,11,11.0,36.9,4.3,11.8,0.362,1.5,4.9,0.315,2.7,6.9,0.395,0.427,3.3,3.7,0.878,0.8,2.5,3.3,5.8,1.6,0.2,2.1,1.7,13.4,13.576240089037473
adamsmi01,Michael Adams,1986,1996,177.8,73.48196394,27.0,1990,DEN,NBA,PG,3,3.0,35.0,4.3,11.3,0.382,2.0,6.7,0.3,2.3,4.7,0.5,0.471,2.3,2.7,0.875,0.0,2.0,2.0,6.0,1.3,0.0,2.7,3.3,13.0,12.494034921297057
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,20.0,2014,OKC,NBA,C,18,0.0,18.4,1.7,2.5,0.689,0.0,0.0,0.0,1.7,2.5,0.689,0.689,0.4,1.3,0.348,1.2,2.9,4.1,0.2,0.1,1.3,0.6,2.7,3.9,4.394914109516594
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,22.0,2016,OKC,NBA,C,18,18.0,30.7,3.8,6.2,0.613,0.0,0.1,0.0,3.8,6.1,0.618,0.613,2.6,4.1,0.63,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,10.340631582666981
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,23.0,2017,OKC,NBA,C,5,5.0,31.4,3.6,5.6,0.643,0.0,0.0,0.0,3.6,5.6,0.643,0.643,0.8,2.2,0.364,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8.0,9.41976058988621
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,24.0,2018,OKC,NBA,C,6,6.0,33.3,4.5,7.7,0.587,0.0,0.0,0.0,4.5,7.7,0.587,0.587,1.5,2.2,0.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5,10.734504162947795
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,25.0,2019,OKC,NBA,C,5,5.0,31.8,5.6,8.4,0.667,0.0,0.2,0.0,5.6,8.2,0.683,0.667,0.6,1.6,0.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,11.647304924595101
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,26.0,2020,OKC,NBA,C,7,7.0,30.0,4.4,7.4,0.596,0.0,0.1,0.0,4.4,7.3,0.608,0.596,1.3,2.9,0.45,4.9,6.7,11.6,1.3,0.6,0.3,2.3,1.4,10.1,10.709573481268595
