,id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
0,abdulta01,Tariq Abdul-Wahad,1998,2003,198.12,101.15109851,24.0,1999,SAC,NBA,SG,5,5.0,19.8,3.0,6.6,0.455,0.0,0.2,0.0,3.0,6.4,0.469,0.455,2.6,3.2,0.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6,7.020452815042485
1,abdulta01,Tariq Abdul-Wahad,1998,2003,198.12,101.15109851,28.0,2003,DAL,NBA,SG,8,0.0,9.9,1.1,3.8,0.3,0.0,0.3,0.0,1.1,3.5,0.321,0.3,0.9,1.0,0.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,3.1086830729499617
2,abdulma02,Mahmoud Abdul-Rauf,1991,2001,185.42,73.48196394,24.0,1994,DEN,NBA,PG,12,12.0,28.3,4.8,12.8,0.37,1.0,3.1,0.324,3.8,9.8,0.385,0.409,2.4,2.6,0.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9,8.052589188426998
3,abdulma02,Mahmoud Abdul-Rauf,1991,2001,185.42,73.48196394,25.0,1995,DEN,NBA,PG,3,2.0,25.3,4.0,11.0,0.364,0.7,4.0,0.167,3.3,7.0,0.476,0.394,4.7,4.7,1.0,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3,9.02783667912379
4,abdursh01,Shareef Abdur-Rahim,1997,2008,205.74,102.05828325,29.0,2006,SAC,NBA,PF,6,0.0,21.5,3.8,7.2,0.535,0.0,0.5,0.0,3.8,6.7,0.575,0.535,1.5,2.5,0.6,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2,6.8164812347541055
5,abrinal01,Álex Abrines,2017,2019,198.12,90.718474,23.0,2017,OKC,NBA,SG,5,0.0,16.0,1.6,4.6,0.348,1.0,3.4,0.294,0.6,1.2,0.5,0.457,0.6,0.8,0.75,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,3.0896023945884026
6,abrinal01,Álex Abrines,2017,2019,198.12,90.718474,24.0,2018,OKC,NBA,SG,6,0.0,18.3,1.3,3.3,0.4,1.0,2.2,0.462,0.3,1.2,0.286,0.55,0.3,0.3,1.0,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0,3.420951082187025
7,abdelal01,Alaa Abdelnaby,1991,1995,208.28,108.8621688,22.0,1991,POR,NBA,PF,5,0.0,2.6,0.4,1.2,0.333,0.0,0.0,0.0,0.4,1.2,0.333,0.333,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8255087301993989
8,abdelal01,Alaa Abdelnaby,1991,1995,208.28,108.8621688,23.0,1992,POR,NBA,PF,8,0.0,3.1,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.3,0.5,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5,1.108060516247691
9,abdelal01,Alaa Abdelnaby,1991,1995,208.28,108.8621688,24.0,1993,BOS,NBA,PF,4,4.0,17.0,2.8,6.0,0.458,0.0,0.0,0.0,2.8,6.0,0.458,0.458,0.0,0.0,0.0,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5,2.9218957492397144
