,id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
6830,washiri01,Richard Washington,1977,1982,210.82,99.7903214,24.0,1980,MIL,NBA,PF,7,0.0,16.0,3.6,6.7,0.532,0.0,0.0,0.0,3.6,6.7,0.532,0.532,0.1,0.6,0.25,1.0,1.9,2.9,0.4,0.6,1.1,1.1,3.1,7.3,5.158559018291326
6831,watertr01,Tremont Waters,2020,2022,177.8,79.37866475,23.0,2021,BOS,NBA,PG,3,0.0,2.0,0.3,1.3,0.25,0.0,0.7,0.0,0.3,0.7,0.5,0.25,0.7,1.0,0.667,0.0,0.0,0.0,0.7,0.3,0.0,0.7,0.0,1.3,1.0682417769066854
6832,watsocj01,C.J. Watson,2008,2017,187.96,79.37866475,26.0,2011,CHI,NBA,PG,16,0.0,8.5,1.2,3.5,0.339,0.2,0.9,0.2,1.0,2.6,0.39,0.366,0.6,0.7,0.909,0.1,0.8,0.9,1.9,0.5,0.0,1.1,0.9,3.2,2.782811334644641
6833,watsocj01,C.J. Watson,2008,2017,187.96,79.37866475,27.0,2012,CHI,NBA,PG,6,5.0,27.3,2.3,9.7,0.241,0.7,2.7,0.25,1.7,7.0,0.238,0.276,2.0,2.7,0.75,0.2,2.0,2.2,5.5,0.8,0.0,1.2,2.7,7.3,7.219026407485955
6834,watsocj01,C.J. Watson,2008,2017,187.96,79.37866475,28.0,2013,BRK,NBA,PG,7,0.0,23.0,3.4,7.9,0.436,0.6,2.1,0.267,2.9,5.7,0.5,0.473,1.1,1.7,0.667,0.7,1.7,2.4,1.9,0.7,0.1,0.1,1.6,8.6,6.574833127102004
6835,watsocj01,C.J. Watson,2008,2017,187.96,79.37866475,29.0,2014,IND,NBA,PG,19,0.0,18.0,1.9,4.7,0.411,0.8,2.1,0.4,1.1,2.6,0.42,0.5,0.9,1.5,0.607,0.2,1.9,2.1,0.9,0.8,0.1,0.7,1.5,5.6,3.784176790117627
6836,watsoja01,Jamie Watson,1995,1999,200.66,86.1825503,22.0,1995,UTA,NBA,SF,5,0.0,11.4,1.2,1.8,0.667,0.0,0.0,0.0,1.2,1.8,0.667,0.667,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.4,0.2,1.2,2.4,2.4,1.7596581522192252
6837,watsoea01,Earl Watson,2002,2014,185.42,88.45051215000001,24.0,2004,MEM,NBA,PG,4,0.0,15.5,2.0,3.8,0.533,0.0,0.8,0.0,2.0,3.0,0.667,0.533,0.8,0.8,1.0,1.0,1.3,2.3,1.8,1.3,0.0,1.5,2.0,4.8,5.462037542033671
6838,watsoea01,Earl Watson,2002,2014,185.42,88.45051215000001,25.0,2005,MEM,NBA,PG,4,0.0,18.5,2.0,6.0,0.333,0.3,2.3,0.111,1.8,3.8,0.467,0.354,0.5,0.5,1.0,0.8,1.8,2.5,3.8,0.8,0.3,0.5,2.8,4.8,6.050297166417519
6839,watsoea01,Earl Watson,2002,2014,185.42,88.45051215000001,34.0,2014,POR,NBA,PG,4,0.0,3.5,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.3001617343476375
6840,weathcl01,Clarence Weatherspoon,1993,2005,198.12,108.8621688,28.0,1999,MIA,NBA,SF,5,0.0,22.4,1.8,5.2,0.346,0.0,0.0,0.0,1.8,5.2,0.346,0.346,2.2,3.4,0.647,0.8,3.4,4.2,0.4,1.4,0.2,0.6,1.6,5.8,4.799580499067755
6841,weathcl01,Clarence Weatherspoon,1993,2005,198.12,108.8621688,29.0,2000,MIA,NBA,PF,10,0.0,17.0,2.5,6.0,0.417,0.0,0.0,0.0,2.5,6.0,0.417,0.417,1.4,2.4,0.583,1.8,2.3,4.1,0.1,0.4,0.3,0.8,2.3,6.4,4.585150631275403
6842,webbsp01,Spud Webb,1986,1998,167.64,60.32778521,22.0,1986,ATL,NBA,PG,9,0.0,20.3,4.7,9.0,0.519,0.0,0.2,0.0,4.7,8.8,0.532,0.519,2.9,3.7,0.788,0.7,2.8,3.4,7.2,0.4,0.1,1.1,1.4,12.2,13.20886712751961
