,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
anderri01 1987,Richard Anderson,1983,1990,6-10,240,26,HOU,NBA,PF,5,0,1.0,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.4,0.4,1.000,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,1.0
anderri01 1988,Richard Anderson,1983,1990,6-10,240,27,POR,NBA,PF,3,0,21.0,3.7,8.0,.458,2.0,4.7,.429,1.7,3.3,.500,.583,1.3,1.3,1.000,1.7,2.7,4.3,0.3,0.7,0.3,0.7,3.7,10.7
anderri01 1989,Richard Anderson,1983,1990,6-10,240,28,POR,NBA,PF,3,0,11.7,0.7,2.0,.333,0.3,1.3,.250,0.3,0.7,.500,.417,0.0,0.0,,0.0,1.0,1.0,1.3,0.0,0.3,0.0,0.7,1.7
anderry01 2010,Ryan Anderson,2009,2020,6-9,240,21,ORL,NBA,PF,9,0,9.9,1.0,3.2,.310,0.4,1.6,.286,0.6,1.7,.333,.379,0.1,0.1,1.000,0.9,2.6,3.4,0.3,0.2,0.2,0.6,1.3,2.6
anderry01 2011,Ryan Anderson,2009,2020,6-9,240,22,ORL,NBA,PF,6,0,24.5,1.3,5.0,.267,1.0,3.3,.300,0.3,1.7,.200,.367,1.0,1.0,1.000,1.7,2.8,4.5,0.5,0.8,0.2,0.2,2.7,4.7
anderry01 2012,Ryan Anderson,2009,2020,6-9,240,23,ORL,NBA,PF,5,5,34.4,3.0,8.8,.341,2.4,6.0,.400,0.6,2.8,.214,.477,1.2,1.4,.857,1.8,2.8,4.6,0.8,0.6,0.4,1.8,4.4,9.6
anderry01 2015,Ryan Anderson,2009,2020,6-9,240,26,NOP,NBA,PF,4,0,23.8,4.0,9.0,.444,1.3,3.0,.417,2.8,6.0,.458,.514,1.5,1.5,1.000,1.8,2.5,4.3,2.3,0.0,0.5,1.0,3.0,10.8
anderry01 2017,Ryan Anderson,2009,2020,6-9,240,28,HOU,NBA,PF,11,9,30.5,3.3,8.4,.391,1.5,5.5,.283,1.7,2.9,.594,.484,1.3,1.5,.875,1.4,3.8,5.2,0.6,0.4,0.2,0.8,2.2,9.4
anderry01 2018,Ryan Anderson,2009,2020,6-9,240,29,HOU,NBA,PF,11,0,8.6,0.6,1.8,.350,0.5,1.4,.333,0.2,0.5,.400,.475,0.0,0.0,,0.4,0.8,1.2,0.5,0.3,0.1,0.3,0.9,1.7
anderwi01 1990,Willie Anderson,1989,1997,6-7,190,23,SAS,NBA,SG,10,10,37.5,8.7,16.8,.518,0.2,0.5,.400,8.5,16.3,.521,.524,2.9,3.6,.806,1.6,3.8,5.4,5.2,0.9,0.4,2.6,4.0,20.5
