,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
blounco01 1995,Corie Blount,1994,2004,6-9,240,26,CHI,NBA,PF,8,0,2.5,0.0,0.4,.000,0.0,0.1,.000,0.0,0.3,.000,.000,0.0,0.0,,0.1,0.5,0.6,0.0,0.0,0.0,0.1,0.6,0.0
blounco01 1997,Corie Blount,1994,2004,6-9,240,28,LAL,NBA,PF,3,0,2.7,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.3,0.7,.500,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,1.0
blounco01 1998,Corie Blount,1994,2004,6-9,240,29,LAL,NBA,PF,12,0,17.4,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.6,0.9,.636,2.0,3.3,5.3,0.6,0.5,0.3,0.3,2.3,2.6
blounco01 2000,Corie Blount,1994,2004,6-9,240,31,PHO,NBA,PF,9,0,18.0,1.9,3.4,.548,0.0,0.0,,1.9,3.4,.548,.548,1.1,2.0,.556,2.8,3.4,6.2,0.3,0.7,0.7,1.4,4.0,4.9
blounco01 2002,Corie Blount,1994,2004,6-9,240,33,PHI,NBA,PF,5,0,17.6,0.4,1.6,.250,0.0,0.0,,0.4,1.6,.250,.250,0.6,0.8,.750,2.0,0.8,2.8,0.4,0.4,0.4,0.8,1.8,1.4
bockhbu01 1962,Bucky Bockhorn,1959,1965,6-4,200,28,CIN,NBA,SG,4,,39.3,6.8,15.5,.435,,,,,,,,3.5,4.0,.875,,,4.8,5.0,,,,2.8,17.0
bockhbu01 1963,Bucky Bockhorn,1959,1965,6-4,200,29,CIN,NBA,SG,12,,33.9,4.7,11.3,.415,,,,,,,,1.9,2.6,.742,,,3.8,3.3,,,,3.7,11.3
bockhbu01 1964,Bucky Bockhorn,1959,1965,6-4,200,30,CIN,NBA,SG,10,,30.1,4.1,10.8,.380,,,,,,,,1.5,2.0,.750,,,3.9,3.9,,,,4.0,9.7
bobbne01 1950,Nelson Bobb,1950,1953,6-0,170,25,PHW,NBA,PG,2,,,0.5,1.5,.333,,,,,,,,0.0,0.0,,,,,0.5,,,,1.5,1.0
bobbne01 1951,Nelson Bobb,1950,1953,6-0,170,26,PHW,NBA,PG,1,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,2.0,,,,2.0,0.0
bobbne01 1952,Nelson Bobb,1950,1953,6-0,170,27,PHW,NBA,PG,3,,9.7,0.3,1.0,.333,,,,,,,,0.7,1.7,.400,,,0.7,0.3,,,,1.3,1.3
boerwto01 1970,Tom Boerwinkle,1969,1978,7-0,265,24,CHI,NBA,C,5,,35.4,8.0,15.8,.506,,,,,,,,1.6,2.6,.615,,,14.4,3.2,,,,3.8,17.6
boerwto01 1971,Tom Boerwinkle,1969,1978,7-0,265,25,CHI,NBA,C,7,,24.1,2.7,5.9,.463,,,,,,,,0.7,1.0,.714,,,9.6,4.4,,,,2.4,6.1
boerwto01 1972,Tom Boerwinkle,1969,1978,7-0,265,26,CHI,NBA,C,1,,8.0,0.0,3.0,.000,,,,,,,,0.0,0.0,,,,6.0,3.0,,,,0.0,0.0
boerwto01 1973,Tom Boerwinkle,1969,1978,7-0,265,27,CHI,NBA,C,4,,7.5,1.0,1.5,.667,,,,,,,,0.3,0.3,1.000,,,2.3,2.8,,,,1.8,2.3
boerwto01 1974,Tom Boerwinkle,1969,1978,7-0,265,28,CHI,NBA,C,2,,3.5,0.0,0.5,.000,,,,,,,,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,,1.0,1.0
boerwto01 1975,Tom Boerwinkle,1969,1978,7-0,265,29,CHI,NBA,C,13,,29.0,3.3,7.5,.439,,,,,,,,1.5,1.9,.800,4.3,8.4,12.7,4.2,0.3,0.8,,3.7,8.2
boerwto01 1977,Tom Boerwinkle,1969,1978,7-0,265,31,CHI,NBA,C,3,,5.7,0.3,1.7,.200,,,,,,,,0.0,0.0,,0.7,2.7,3.3,2.3,0.0,0.3,,0.3,0.7
boganke01 2008,Keith Bogans,2004,2014,6-5,215,27,ORL,NBA,SG,10,0,29.3,2.5,6.8,.368,1.5,4.5,.333,1.0,2.3,.435,.478,0.8,1.1,.727,0.4,3.8,4.2,1.1,0.4,0.0,0.7,2.6,7.3
boganke01 2010,Keith Bogans,2004,2014,6-5,215,29,SAS,NBA,SF,8,0,6.9,0.3,1.3,.200,0.1,0.8,.167,0.1,0.5,.250,.250,0.0,0.0,,0.1,0.6,0.8,0.3,0.3,0.1,0.3,1.1,0.6
boganke01 2011,Keith Bogans,2004,2014,6-5,215,30,CHI,NBA,SG,16,16,19.2,1.8,4.3,.406,1.6,3.7,.424,0.2,0.6,.300,.587,0.1,0.3,.250,0.3,1.0,1.3,0.8,0.6,0.2,0.4,1.6,5.1
boganke01 2013,Keith Bogans,2004,2014,6-5,215,32,BRK,NBA,SG,2,0,11.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.5,0.0
bogdabo02 2015,Bojan Bogdanović,2015,2022,6-7,226,25,BRK,NBA,SF,6,5,34.3,3.8,9.8,.390,1.8,5.5,.333,2.0,4.3,.462,.483,0.8,1.2,.714,0.5,3.3,3.8,1.7,0.7,0.3,1.3,2.0,10.3
bogdabo02 2017,Bojan Bogdanović,2015,2022,6-7,226,27,WAS,NBA,SF,13,0,20.3,2.8,6.7,.414,1.2,3.5,.356,1.5,3.2,.476,.506,2.1,2.5,.844,0.8,3.5,4.3,0.7,0.5,0.1,0.6,1.3,8.8
bogdabo02 2018,Bojan Bogdanović,2015,2022,6-7,226,28,IND,NBA,SF,7,7,34.0,4.6,11.6,.395,2.4,6.4,.378,2.1,5.1,.417,.500,0.9,1.4,.600,0.1,3.3,3.4,1.9,0.9,0.0,1.9,3.3,12.4
bogdabo02 2019,Bojan Bogdanović,2015,2022,6-7,226,29,IND,NBA,SF,4,4,37.0,6.3,15.8,.397,1.8,5.5,.318,4.5,10.3,.439,.452,3.8,4.3,.882,0.8,5.0,5.8,2.8,2.0,0.0,1.5,1.8,18.0
bogdabo02 2021,Bojan Bogdanović,2015,2022,6-7,226,31,UTA,NBA,SF,11,11,35.5,5.8,12.5,.467,3.2,6.9,.461,2.6,5.5,.475,.595,3.3,3.7,.878,0.5,3.7,4.3,1.5,0.9,0.0,2.1,2.5,18.1
bolbo01 2020,Bol Bol,2020,2022,7-2,220,20,DEN,NBA,PF,4,0,5.3,1.3,2.3,.556,0.5,0.8,.667,0.8,1.5,.500,.667,1.8,2.0,.875,0.8,0.5,1.3,0.0,0.5,0.5,0.5,0.3,4.8
bolbo01 2021,Bol Bol,2020,2022,7-2,220,21,DEN,NBA,PF,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0
bogdabo01 2021,Bogdan Bogdanović,2018,2022,6-6,220,28,ATL,NBA,SG,18,18,33.2,5.4,13.8,.390,2.6,7.9,.329,2.8,5.9,.472,.484,0.7,0.9,.706,0.6,3.6,4.2,2.9,1.6,0.3,1.5,2.8,14.1
boguemu01 1988,Muggsy Bogues,1988,2001,5-3,136,23,WSB,NBA,PG,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
boguemu01 1993,Muggsy Bogues,1988,2001,5-3,136,28,CHH,NBA,PG,9,9,38.4,4.3,9.1,.476,0.0,0.2,.000,4.3,8.9,.488,.476,1.1,1.6,.714,0.7,3.3,4.0,7.8,2.7,0.0,1.9,2.3,9.8
boguemu01 1995,Muggsy Bogues,1988,2001,5-3,136,30,CHH,NBA,PG,4,4,36.3,3.5,11.3,.311,0.3,0.8,.333,3.3,10.5,.310,.322,1.3,1.3,1.000,0.8,0.8,1.5,6.3,1.0,0.0,2.3,2.0,8.5
boguemu01 1997,Muggsy Bogues,1988,2001,5-3,136,32,CHH,NBA,PG,2,2,29.0,5.5,9.5,.579,3.0,3.5,.857,2.5,6.0,.417,.737,2.0,2.0,1.000,0.5,1.0,1.5,2.5,0.5,0.0,3.0,1.5,16.0
boguemu01 2000,Muggsy Bogues,1988,2001,5-3,136,35,TOR,NBA,PG,3,2,29.0,2.0,7.0,.286,1.0,3.0,.333,1.0,4.0,.250,.357,0.3,1.0,.333,1.0,1.0,2.0,1.7,1.3,0.0,1.3,1.3,5.3
bolma01 1986,Manute Bol,1986,1995,7-7,200,23,WSB,NBA,C,5,5,30.4,2.0,3.4,.588,0.0,0.0,,2.0,3.4,.588,.588,0.6,1.6,.375,3.2,4.4,7.6,0.2,0.6,5.8,0.8,3.0,4.6
bolma01 1987,Manute Bol,1986,1995,7-7,200,24,WSB,NBA,C,3,0,14.3,1.3,3.3,.400,0.0,0.3,.000,1.3,3.0,.444,.400,0.0,0.7,.000,1.7,1.3,3.0,0.0,0.0,1.7,0.0,2.0,2.7
bolma01 1988,Manute Bol,1986,1995,7-7,200,25,WSB,NBA,C,5,0,8.8,0.8,1.4,.571,0.0,0.0,,0.8,1.4,.571,.571,0.2,0.2,1.000,1.4,1.0,2.4,0.0,0.0,0.4,0.2,1.0,1.8
bolma01 1989,Manute Bol,1986,1995,7-7,200,26,GSW,NBA,C,8,0,18.5,0.9,4.5,.194,0.3,2.8,.091,0.6,1.8,.357,.222,0.3,0.9,.286,0.6,3.3,3.9,0.1,0.3,3.6,0.4,2.6,2.3
bolma01 1991,Manute Bol,1986,1995,7-7,200,28,PHI,NBA,C,8,0,13.6,1.1,2.3,.500,0.0,0.0,,1.1,2.3,.500,.500,0.8,1.1,.667,0.5,1.9,2.4,0.1,0.1,1.5,0.6,1.8,3.0
bogutan01 2006,Andrew Bogut,2006,2019,7-0,260,21,MIL,NBA,PF,5,5,34.4,4.0,9.2,.435,0.0,0.0,,4.0,9.2,.435,.435,0.6,1.6,.375,1.8,4.4,6.2,3.4,0.6,0.0,1.6,4.2,8.6
bogutan01 2013,Andrew Bogut,2006,2019,7-0,260,28,GSW,NBA,C,12,12,27.3,3.3,5.6,.582,0.0,0.0,,3.3,5.6,.582,.582,0.7,1.9,.348,3.3,7.7,10.9,1.8,0.5,1.5,1.8,3.3,7.2
bogutan01 2015,Andrew Bogut,2006,2019,7-0,260,30,GSW,NBA,C,19,18,23.2,2.2,3.9,.560,0.0,0.1,.000,2.2,3.9,.568,.560,0.3,0.7,.385,2.2,5.9,8.1,1.9,0.6,1.8,1.4,3.6,4.7
bogutan01 2016,Andrew Bogut,2006,2019,7-0,260,31,GSW,NBA,C,22,22,16.6,2.2,3.5,.623,0.0,0.1,.000,2.2,3.4,.640,.623,0.2,0.6,.357,2.1,3.5,5.7,1.4,0.6,1.6,0.9,3.3,4.6
bogutan01 2019,Andrew Bogut,2006,2019,7-0,260,34,GSW,NBA,C,19,6,9.4,1.3,1.9,.649,0.0,0.0,,1.3,1.9,.649,.649,0.2,0.3,.800,1.2,2.7,3.9,1.1,0.3,0.3,0.5,2.0,2.7
boldejo01 2019,Jonah Bolden,2019,2020,6-8,220,23,PHI,NBA,PF,10,0,7.9,0.5,1.9,.263,0.4,1.6,.250,0.1,0.3,.333,.368,0.2,0.4,.500,0.4,1.0,1.4,0.3,0.2,0.1,0.9,1.2,1.6
bolomjo01 2017,Joel Bolomboy,2017,2018,6-9,235,23,UTA,NBA,PF,2,0,4.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,2.0
bondwa01 1994,Walter Bond,1993,1995,6-5,200,24,UTA,NBA,SG,4,0,3.3,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.3
bonharo01 1965,Ron Bonham,1965,1968,6-5,192,22,BOS,NBA,SF,4,,3.3,1.3,3.0,.417,,,,1.3,3.0,.417,.417,1.0,1.3,.800,,,0.3,0.0,,,,0.3,3.5
bonharo01 1966,Ron Bonham,1965,1968,6-5,192,23,BOS,NBA,SG,5,,3.2,1.4,2.2,.636,,,,1.4,2.2,.636,.636,0.6,1.8,.333,,,0.6,0.0,,,,0.4,3.4
bonharo01 1968,Ron Bonham,1965,1968,6-5,192,25,INA,ABA,SF,3,,10.0,1.3,5.0,.267,0.0,0.0,,1.3,5.0,.267,.267,1.7,2.0,.833,,,2.0,1.0,,,0.7,1.3,4.3
bongais01 2021,Isaac Bonga,2019,2022,6-8,180,21,WAS,NBA,SF,4,0,2.5,0.0,1.3,.000,0.0,0.8,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
bonnean01 1994,Anthony Bonner,1991,1996,6-8,215,25,NYK,NBA,SF,13,7,9.1,0.8,1.7,.455,0.0,0.0,,0.8,1.7,.455,.455,0.5,1.0,.538,1.2,1.0,2.2,0.2,0.4,0.0,1.0,1.7,2.1
bonnean01 1995,Anthony Bonner,1991,1996,6-8,215,26,NYK,NBA,PF,6,0,6.3,1.0,1.8,.545,0.0,0.2,.000,1.0,1.7,.600,.545,0.5,1.0,.500,0.7,0.7,1.3,0.3,0.2,0.2,0.5,1.0,2.5
bonnean01 1996,Anthony Bonner,1991,1996,6-8,215,27,ORL,NBA,PF,4,0,4.0,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.3,0.5,.500,0.5,0.0,0.5,0.3,0.0,0.0,0.0,0.8,0.8
bonnema01 2007,Matt Bonner,2005,2016,6-10,235,26,SAS,NBA,PF,9,0,2.8,0.2,0.8,.286,0.1,0.4,.250,0.1,0.3,.333,.357,0.2,0.2,1.000,0.2,0.1,0.3,0.0,0.2,0.0,0.3,0.7,0.8
bonnema01 2008,Matt Bonner,2005,2016,6-10,235,27,SAS,NBA,PF,2,0,4.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
bonnema01 2009,Matt Bonner,2005,2016,6-10,235,28,SAS,NBA,PF,5,5,20.0,1.0,4.6,.217,0.6,2.6,.231,0.4,2.0,.200,.283,0.4,0.4,1.000,1.2,2.0,3.2,0.0,0.6,0.4,0.4,2.0,3.0
bonnema01 2010,Matt Bonner,2005,2016,6-10,235,29,SAS,NBA,PF,10,0,17.3,1.9,4.4,.432,1.0,2.7,.370,0.9,1.7,.529,.545,0.2,0.2,1.000,0.7,2.5,3.2,0.4,0.1,0.3,0.7,2.2,5.0
bonnema01 2011,Matt Bonner,2005,2016,6-10,235,30,SAS,NBA,PF,6,0,20.5,2.0,4.2,.480,1.0,3.0,.333,1.0,1.2,.857,.600,1.3,1.7,.800,1.2,2.0,3.2,0.3,0.2,0.2,0.2,3.0,6.3
bonnema01 2012,Matt Bonner,2005,2016,6-10,235,31,SAS,NBA,PF,13,0,12.7,0.8,2.5,.313,0.6,1.8,.348,0.2,0.7,.222,.438,0.2,0.4,.600,0.2,1.8,1.9,0.7,0.2,0.3,0.2,1.8,2.4
bonnema01 2013,Matt Bonner,2005,2016,6-10,235,32,SAS,NBA,PF,20,1,13.4,1.4,3.0,.475,0.8,1.6,.469,0.7,1.4,.481,.602,0.5,0.6,.833,0.5,1.5,2.0,0.3,0.3,0.3,0.1,1.8,4.1
bonnema01 2014,Matt Bonner,2005,2016,6-10,235,33,SAS,NBA,PF,22,2,6.2,0.5,1.0,.476,0.2,0.5,.333,0.3,0.4,.667,.571,0.1,0.2,.750,0.1,0.5,0.6,0.5,0.1,0.0,0.1,0.5,1.2
bonnema01 2015,Matt Bonner,2005,2016,6-10,235,34,SAS,NBA,PF,7,0,5.1,0.3,1.4,.200,0.3,1.3,.222,0.0,0.1,.000,.300,0.0,0.0,,0.0,0.9,0.9,0.1,0.0,0.1,0.1,1.1,0.9
bookede01 2021,Devin Booker,2016,2022,6-5,206,24,PHO,NBA,SG,22,22,40.4,9.6,21.5,.447,2.0,6.2,.321,7.6,15.3,.499,.494,6.0,6.7,.905,0.7,5.0,5.6,4.5,0.8,0.2,3.7,3.5,27.3
boonejo01 2007,Josh Boone,2007,2010,6-10,237,22,NJN,NBA,PF,12,0,9.8,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,2.0,.500,0.6,1.0,1.6,0.3,0.1,0.3,0.3,1.3,3.0
booketr01 2014,Trevor Booker,2011,2018,6-8,228,26,WAS,NBA,PF,9,1,16.2,1.4,3.2,.448,0.0,0.2,.000,1.4,3.0,.481,.448,0.4,0.7,.667,1.8,2.6,4.3,0.9,0.2,1.0,0.3,2.8,3.3
booketr01 2018,Trevor Booker,2011,2018,6-8,228,30,IND,NBA,PF,7,0,9.1,0.9,1.4,.600,0.0,0.1,.000,0.9,1.3,.667,.600,0.9,1.0,.857,0.7,1.9,2.6,0.0,0.1,0.1,0.1,1.7,2.6
boonero01 1969,Ron Boone,1969,1981,6-2,200,22,DLC,ABA,SG,7,,28.0,5.4,12.1,.447,0.0,0.6,.000,5.4,11.6,.469,.447,3.0,3.6,.840,,,3.1,3.9,,,2.9,3.6,13.9
boonero01 1970,Ron Boone,1969,1981,6-2,200,23,DLC,ABA,SG,6,,32.2,7.7,16.2,.474,0.5,1.3,.375,7.2,14.8,.483,.490,2.5,3.5,.714,,,4.5,4.5,,,3.7,4.5,18.3
boonero01 1971,Ron Boone,1969,1981,6-2,200,24,UTS,ABA,SG,18,,31.6,6.3,14.2,.441,0.5,1.5,.333,5.8,12.7,.454,.459,4.1,4.8,.860,2.8,3.3,6.1,5.2,,,3.1,3.9,17.2
boonero01 1972,Ron Boone,1969,1981,6-2,200,25,UTS,ABA,SG,11,,19.0,4.5,9.5,.476,0.1,0.5,.200,4.5,9.1,.490,.481,2.3,2.6,.862,,,2.2,2.4,,,2.2,2.7,11.5
boonero01 1973,Ron Boone,1969,1981,6-2,200,26,UTS,ABA,SG,10,,36.0,6.8,13.5,.504,0.0,0.3,.000,6.8,13.2,.515,.504,3.3,3.4,.971,1.7,2.6,4.3,4.7,,,3.9,4.1,16.9
boonero01 1974,Ron Boone,1969,1981,6-2,200,27,UTS,ABA,SG,18,,41.5,7.6,16.1,.474,0.0,0.4,.000,7.6,15.7,.486,.474,1.9,2.1,.919,2.7,3.3,6.0,6.1,1.7,0.2,2.6,3.0,17.1
boonero01 1975,Ron Boone,1969,1981,6-2,200,28,UTS,ABA,SG,6,,36.5,9.0,21.2,.425,0.0,0.0,,9.0,21.2,.425,.425,5.7,6.3,.895,1.5,2.5,4.0,6.8,2.3,1.0,4.5,3.7,23.7
boonero01 1979,Ron Boone,1969,1981,6-2,200,32,LAL,NBA,SG,8,,28.3,4.6,9.6,.481,,,,4.6,9.6,.481,.481,2.5,2.6,.952,0.9,1.0,1.9,1.8,1.1,0.0,1.8,3.5,11.8
borrela01 2000,Lazaro Borrell,2000,2000,6-8,220,27,SEA,NBA,SF,2,1,13.0,2.0,3.5,.571,0.0,0.0,,2.0,3.5,.571,.571,1.0,2.0,.500,1.5,4.0,5.5,0.5,0.0,0.0,0.5,1.0,5.0
boozebo01 1962,Bob Boozer,1961,1971,6-8,215,24,CIN,NBA,PF,4,,35.8,8.0,14.3,.561,,,,,,,,2.3,3.0,.750,,,10.5,0.8,,,,4.0,18.3
boozebo01 1963,Bob Boozer,1961,1971,6-8,215,25,CIN,NBA,PF,12,,31.8,4.8,11.5,.413,,,,,,,,3.8,5.3,.714,,,8.0,1.5,,,,3.7,13.3
boozebo01 1966,Bob Boozer,1961,1971,6-8,215,28,LAL,NBA,PF,10,,18.1,2.6,6.5,.400,,,,,,,,1.5,2.0,.750,,,5.0,0.7,,,,2.0,6.7
boozebo01 1967,Bob Boozer,1961,1971,6-8,215,29,CHI,NBA,PF,3,,35.0,8.0,12.7,.632,,,,,,,,3.7,4.7,.786,,,11.7,0.3,,,,2.7,19.7
boozebo01 1968,Bob Boozer,1961,1971,6-8,215,30,CHI,NBA,PF,5,,38.0,6.6,14.6,.452,,,,,,,,5.6,7.6,.737,,,8.8,2.4,,,,2.6,18.8
boozebo01 1971,Bob Boozer,1961,1971,6-8,215,33,MIL,NBA,PF,14,,20.2,2.9,6.1,.482,,,,,,,,1.6,2.1,.759,,,5.3,1.2,,,,2.5,7.4
bornhja01 1949,Jake Bornheimer,1949,1950,6-5,200,21,PHW,BAA,,2,,,3.5,8.5,.412,,,,,,,,3.0,4.5,.667,,,,1.0,,,,5.5,10.0
bornhja01 1950,Jake Bornheimer,1949,1950,6-5,200,22,PHW,NBA,,2,,,0.5,1.5,.333,,,,,,,,0.0,0.0,,,,,0.0,,,,1.0,1.0
boothca01 2001,Calvin Booth,2000,2009,6-11,230,24,DAL,NBA,C,10,0,13.7,1.5,3.7,.405,0.0,0.0,,1.5,3.7,.405,.405,0.8,0.9,.889,1.6,1.2,2.8,0.2,0.7,0.6,0.4,2.9,3.8
boothca01 2007,Calvin Booth,2000,2009,6-11,230,30,WAS,NBA,C,1,0,18.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0
borylvi01 1950,Vince Boryla,1950,1954,6-5,210,22,NYK,NBA,SF,5,,,4.6,10.4,.442,,,,,,,,5.8,6.4,.906,,,,1.4,,,,5.0,15.0
borylvi01 1951,Vince Boryla,1950,1954,6-5,210,23,NYK,NBA,SF,14,,,5.9,13.8,.430,,,,,,,,3.6,4.0,.911,,,3.7,2.6,,,,3.0,15.5
borylvi01 1953,Vince Boryla,1950,1954,6-5,210,25,NYK,NBA,SF,11,,36.1,4.0,10.5,.379,,,,,,,,2.6,3.1,.853,,,3.2,1.8,,,,3.2,10.6
borylvi01 1954,Vince Boryla,1950,1954,6-5,210,26,NYK,NBA,SF,3,,22.0,2.7,4.7,.571,,,,,,,,3.7,4.3,.846,,,0.7,0.3,,,,4.0,9.0
boozeca01 2007,Carlos Boozer,2003,2015,6-9,258,25,UTA,NBA,PF,17,17,38.5,9.5,17.8,.536,0.0,0.0,,9.5,17.8,.536,.536,4.5,6.1,.738,3.2,9.0,12.2,2.9,1.0,0.3,3.0,3.1,23.5
boozeca01 2008,Carlos Boozer,2003,2015,6-9,258,26,UTA,NBA,PF,12,12,36.8,6.3,15.3,.415,0.0,0.0,,6.3,15.3,.415,.415,3.3,4.7,.714,3.5,8.8,12.3,2.8,0.5,0.2,3.0,3.9,16.0
boozeca01 2009,Carlos Boozer,2003,2015,6-9,258,27,UTA,NBA,PF,5,5,37.2,7.6,14.4,.528,0.0,0.0,,7.6,14.4,.528,.528,5.4,7.0,.771,2.4,10.8,13.2,2.2,1.6,0.4,3.0,3.6,20.6
boozeca01 2010,Carlos Boozer,2003,2015,6-9,258,28,UTA,NBA,PF,10,10,40.2,8.9,16.8,.530,0.0,0.0,,8.9,16.8,.530,.530,1.9,3.5,.543,3.3,9.9,13.2,3.0,0.4,0.7,2.4,3.8,19.7
boozeca01 2011,Carlos Boozer,2003,2015,6-9,258,29,CHI,NBA,C,16,16,31.7,4.8,11.1,.433,0.0,0.1,.000,4.8,11.1,.435,.433,3.0,3.8,.800,2.5,7.2,9.7,1.8,0.6,0.4,1.8,3.1,12.6
boozeca01 2012,Carlos Boozer,2003,2015,6-9,258,30,CHI,NBA,PF,6,6,33.3,6.3,15.0,.422,0.0,0.0,,6.3,15.0,.422,.422,0.8,1.2,.714,1.7,8.2,9.8,3.0,0.8,0.3,3.8,3.3,13.5
boozeca01 2013,Carlos Boozer,2003,2015,6-9,258,31,CHI,NBA,PF,12,12,35.9,6.9,14.0,.494,0.0,0.1,.000,6.9,13.9,.497,.494,2.6,3.8,.689,2.9,6.7,9.6,1.5,0.8,0.1,2.4,3.0,16.4
boozeca01 2014,Carlos Boozer,2003,2015,6-9,258,32,CHI,NBA,PF,5,5,24.2,4.0,9.4,.426,0.0,0.0,,4.0,9.4,.426,.426,1.6,1.8,.889,1.6,6.2,7.8,1.0,0.2,0.0,1.4,2.6,9.6
boshch01 2007,Chris Bosh,2004,2016,6-11,235,22,TOR,NBA,C,6,6,37.0,6.0,15.2,.396,0.2,0.8,.200,5.8,14.3,.407,.401,5.3,6.3,.842,1.2,7.8,9.0,2.5,0.8,1.8,2.0,3.2,17.5
boshch01 2008,Chris Bosh,2004,2016,6-11,235,23,TOR,NBA,C,5,5,39.8,8.4,17.8,.472,0.2,1.4,.143,8.2,16.4,.500,.478,7.0,8.4,.833,4.0,5.0,9.0,3.6,1.6,0.4,2.6,3.8,24.0
boshch01 2011,Chris Bosh,2004,2016,6-11,235,26,MIA,NBA,PF,21,21,39.7,6.6,13.9,.474,0.0,0.2,.000,6.6,13.7,.481,.474,5.4,6.7,.814,2.2,6.2,8.5,1.1,0.7,0.9,1.9,2.3,18.6
boshch01 2012,Chris Bosh,2004,2016,6-11,235,27,MIA,NBA,PF,14,10,31.4,5.2,10.6,.493,0.5,0.9,.538,4.7,9.6,.489,.517,3.1,3.7,.827,2.6,5.2,7.8,0.6,0.4,1.0,1.4,1.4,14.0
boshch01 2013,Chris Bosh,2004,2016,6-11,235,28,MIA,NBA,C,23,23,32.7,4.8,10.4,.458,0.7,1.6,.405,4.1,8.8,.468,.490,1.9,2.6,.733,1.7,5.6,7.3,1.5,1.0,1.6,1.2,2.9,12.1
boshch01 2014,Chris Bosh,2004,2016,6-11,235,29,MIA,NBA,C,20,20,34.3,5.8,11.5,.507,1.5,3.7,.405,4.3,7.8,.555,.572,1.8,2.4,.750,1.2,4.4,5.6,1.1,0.9,1.0,0.7,2.6,14.9
bouchch01 2019,Chris Boucher,2018,2022,6-9,200,26,TOR,NBA,PF,2,0,2.0,1.0,2.5,.400,0.5,1.5,.333,0.5,1.0,.500,.500,0.0,0.5,.000,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.5
bouchch01 2020,Chris Boucher,2018,2022,6-9,200,27,TOR,NBA,C,7,0,6.1,0.4,1.6,.273,0.3,0.7,.400,0.1,0.9,.167,.364,0.0,0.1,.000,0.4,1.3,1.7,0.1,0.0,0.3,0.1,0.7,1.1
bosweto01 1976,Tom Boswell,1976,1984,6-9,220,22,BOS,NBA,PF,3,,1.0,0.3,0.7,.500,,,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,,0.7,0.7
bosweto01 1977,Tom Boswell,1976,1984,6-9,220,23,BOS,NBA,PF,9,,9.0,0.9,2.0,.444,,,,0.9,2.0,.444,.444,0.4,0.7,.667,1.1,1.1,2.2,0.8,0.1,0.0,,2.0,2.2
bosweto01 1979,Tom Boswell,1976,1984,6-9,220,25,DEN,NBA,PF,3,,40.0,7.0,11.7,.600,,,,7.0,11.7,.600,.600,3.3,4.3,.769,4.7,4.3,9.0,5.3,1.0,1.7,2.0,3.3,17.3
bosweto01 1984,Tom Boswell,1976,1984,6-9,220,30,UTA,NBA,PF,5,,11.0,0.6,0.8,.750,0.0,0.0,,0.6,0.8,.750,.750,0.4,1.0,.400,0.4,0.8,1.2,0.4,0.0,0.2,0.8,2.4,1.6
bovendo01 1953,Don Boven,1950,1953,6-4,210,27,FTW,NBA,SF,8,,13.9,0.9,3.5,.250,,,,,,,,1.1,2.0,.563,,,2.0,0.3,,,,2.8,2.9
